BJD_Code,year,day,type,acid,phosphate,silicate,OM,Mg,K,Ca,EC,jibun
5013032024,2020,20201008,2,5.4,74,NA,141,1,0.67,2.1,0.36,제주특별자치도 서귀포시 표선면 가시리 1163
5013032024,2020,20201008,2,5.5,69,NA,145,1,0.76,2.2,0.32,제주특별자치도 서귀포시 표선면 가시리 1167-1
5013032024,2020,20201008,2,5.3,74,NA,145,1.2,0.71,2.3,0.36,제주특별자치도 서귀포시 표선면 가시리 1187
5013032024,2020,20201008,2,5.4,73,NA,144,1.2,0.7,2.3,0.33,제주특별자치도 서귀포시 표선면 가시리 1188
5013032024,2020,20201008,2,5.3,73,NA,144,1.1,0.71,2.2,0.37,제주특별자치도 서귀포시 표선면 가시리 3477
5013032024,2020,20201008,2,5.4,71,NA,145,1.1,0.7,2.6,0.3,제주특별자치도 서귀포시 표선면 가시리 1114-1
5013032024,2020,20200106,3,5,394,NA,81,1,0.44,2.1,0.57,제주특별자치도 서귀포시 표선면 가시리 3665-82
5013032024,2020,20200608,3,6.5,415,NA,193,6.9,2.65,16.6,1.24,제주특별자치도 서귀포시 표선면 가시리 200
5013032024,2020,20200619,3,6.7,53,NA,138,2.9,0.53,27.1,0.18,제주특별자치도 서귀포시 표선면 가시리 1129-4
5013032024,2020,20200714,3,6.4,121,NA,181,1.7,0.44,6.1,0.3,제주특별자치도 서귀포시 표선면 가시리 1379-1
5013032024,2020,20200925,3,5.6,53,NA,151,0.9,0.74,2.7,0.35,제주특별자치도 서귀포시 표선면 가시리 1191
5013032024,2020,20200310,4,6.5,160,NA,167,3.1,0.64,6.9,0.2,제주특별자치도 서귀포시 표선면 가시리 796
5013032024,2020,20200518,4,7.2,97,NA,184,4.7,0.81,20.4,0.34,제주특별자치도 서귀포시 표선면 가시리 1130
5013032024,2020,20200604,4,5.3,108,NA,201,0.6,0.2,1.5,0.19,제주특별자치도 서귀포시 표선면 가시리 352
5013032024,2020,20200617,4,5.6,60,NA,152,0.9,0.6,3.5,0.3,제주특별자치도 서귀포시 표선면 가시리 1077-1
5013032024,2020,20200713,4,6.6,164,NA,221,2.7,0.16,11.5,0.23,제주특별자치도 서귀포시 표선면 가시리 959
5013032024,2020,20200714,4,5.4,151,NA,217,1.4,0.72,3,0.9,제주특별자치도 서귀포시 표선면 가시리 1379
5013032024,2020,20200114,2,6.6,39,NA,126,0.1,1.1,7.7,0.1,제주특별자치도 서귀포시 표선면 가시리 2906-1
5013032024,2020,20200320,2,5.2,47,NA,232,1.1,0.21,2.4,0.13,제주특별자치도 서귀포시 표선면 가시리 3649
5013032024,2020,20200320,2,5.1,10,NA,255,0.4,0.23,0.3,0.2,제주특별자치도 서귀포시 표선면 가시리 3668-1
5013032024,2020,20200723,2,6.2,122,NA,131,1.1,0.55,7.4,0.29,제주특별자치도 서귀포시 표선면 가시리 937-1
5013032024,2020,20200723,2,6.3,49,NA,149,1.5,0.89,6.7,1,제주특별자치도 서귀포시 표선면 가시리 1100
5013032024,2020,20201030,2,5.1,68,NA,134,0.1,0.71,2.8,0.7,제주특별자치도 서귀포시 표선면 가시리 1162-1
5013032024,2020,20200729,3,4.4,97,NA,99,2.2,1.87,3.3,3.58,제주특별자치도 서귀포시 표선면 가시리 1038-1
5013032024,2020,20200915,3,5,119,NA,191,0.6,1.29,3.3,0.63,제주특별자치도 서귀포시 표선면 가시리 1073
5013032024,2020,20201030,3,5,85,NA,155,0.1,0.97,3.1,1.04,제주특별자치도 서귀포시 표선면 가시리 1191
5013032024,2020,20201130,3,6.1,29,NA,154,1,0.63,6.4,0.4,제주특별자치도 서귀포시 표선면 가시리 2688-2
5013032024,2020,20201130,3,6.6,24,NA,138,1.1,0.59,8.1,0.35,제주특별자치도 서귀포시 표선면 가시리 2688-2
5013032024,2020,20200113,4,5.8,192,NA,178,3.7,1.01,11.7,0.21,제주특별자치도 서귀포시 표선면 가시리 990-2
5013032024,2020,20200225,4,6.2,221,NA,55,3,1.32,7,0.2,제주특별자치도 서귀포시 표선면 가시리 2314-1
5013032024,2020,20200407,4,4.8,669.2,NA,116.6,1.1,0.59,2.92,0.6,제주특별자치도 서귀포시 표선면 가시리 1066
5013032024,2020,20200601,4,5,131,NA,164,0.7,0.26,1,0.2,제주특별자치도 서귀포시 표선면 가시리 2862
5013032024,2020,20200624,4,5.4,291,NA,186,1.8,1.15,4.4,0.4,제주특별자치도 서귀포시 표선면 가시리 2820-6
5013032024,2020,20201019,4,5.3,524,NA,132,3.1,0.71,4.3,0.34,제주특별자치도 서귀포시 표선면 가시리 1066
5013032024,2020,20200320,2,5.2,47,NA,232,1.1,0.21,2.4,0.13,제주특별자치도 서귀포시 표선면 가시리 3649
5013032024,2020,20200320,2,5.1,10,NA,255,0.4,0.23,0.3,0.2,제주특별자치도 서귀포시 표선면 가시리 3668-1
5013032024,2020,20200729,3,4.4,89,NA,100,2.1,2,3.4,3.4,제주특별자치도 서귀포시 표선면 가시리 1038-1
5013032024,2020,20200729,3,5.9,88,NA,121,7.8,3.91,14.1,3.02,제주특별자치도 서귀포시 표선면 가시리 1937-2
5013032024,2020,20200909,3,5.5,141,NA,167,4.4,1.66,13.2,2.07,제주특별자치도 서귀포시 표선면 가시리 1040
5013032024,2020,20201119,3,5.6,1528,NA,215,7.4,8.45,10.6,7.49,제주특별자치도 서귀포시 표선면 가시리 1040
5013032024,2020,20201119,3,6.5,551,NA,159,5.8,3.4,14.3,1.23,제주특별자치도 서귀포시 표선면 가시리 1040
5013032024,2020,20201119,4,5.9,123,NA,140,1.5,0.62,5.4,0.29,제주특별자치도 서귀포시 표선면 가시리 1040
5013032024,2020,20201110,2,5.7,31,NA,300,2.4,1.42,3,0.63,제주특별자치도 서귀포시 표선면 가시리 136
